"TGS.2620","TGS.2611","TGS.822","TGS.832","TGS.2602","TGS.2600","TGS.826","TGS.825","Temp","Humid","nomor","nama","category"
2307.375,1251.375,794.4375,3204.5625,1408.6875,2266.3125,1322.8125,2913.1875,34.97,43.61,"3","T4","L1"
2323.5,1269.5625,795,3189,1383.375,2292.375,1312.5,2918.0625,35,44.34,"4","T4","L1"
2359.3125,1294.6875,791.25,3218.0625,1402.3125,2326.3125,1291.125,2972.8125,34.9,44.51,"5","T4","L1"
2410.125,1333.3125,798.5625,3375.5625,1541.625,2352.9375,1363.6875,3085.875,35.15,43.79,"1","T4","L2"
2428.6875,1349.625,798.9375,3346.5,1486.875,2386.125,1363.875,3083.4375,35.11,46.07,"2","T4","L2"
2449.6875,1380.1875,796.6875,3338.8125,1457.0625,2419.875,1337.0625,3122.0625,35.2,47.19,"3","T4","L2"
2521.5,1434.375,801.9375,3442.6875,1513.125,2482.125,1318.3125,3231.75,35.42,46.31,"4","T4","L2"
2378.25,1310.0625,794.25,3254.25,1423.6875,2342.25,1303.875,3003.75,34.98,45.09,"5","T4","L2"
2650.125,1530.75,796.5,3639.9375,1780.3125,2593.125,1473.75,3419.8125,35.06,47.05,"1","T4","L3"
2663.8125,1549.875,798.9375,3654.1875,1767,2605.3125,1450.875,3439.125,35.18,46.52,"2","T4","L3"
2641.875,1521.375,793.875,3618.1875,1771.3125,2585.8125,1463.8125,3407.625,35.06,45.68,"3","T4","L3"
2702.25,1575.5625,800.625,3674.0625,1798.875,2647.5,1511.8125,3478.3125,35.2,48.24,"4","T4","L3"
2623.6875,1509,793.5,3623.625,1774.875,2560.5,1455.1875,3401.625,35.06,45.07,"5","T4","L3"
